"Date","Price","Open","High","Low","Vol.","Change %"
"02-02-2022","110.10","108.70","111.40","104.70","5.45M","3.77%"
"01-02-2022","106.10","103.00","106.10","101.55","2.85M","5.00%"
"31-01-2022","101.05","103.30","104.00","99.80","2.10M","-1.22%"
"28-01-2022","102.30","98.65","102.65","98.65","3.22M","4.60%"
"27-01-2022","97.80","97.00","100.50","96.05","1.57M","-0.25%"
"25-01-2022","98.05","92.60","98.20","91.40","2.21M","4.81%"
"24-01-2022","93.55","98.00","98.75","93.35","2.33M","-4.78%"
"21-01-2022","98.25","100.00","102.00","97.20","1.45M","-3.25%"
"20-01-2022","101.55","99.00","102.50","99.00","1.53M","1.80%"
"19-01-2022","99.75","102.40","102.95","98.80","1.38M","-2.16%"
"18-01-2022","101.95","106.90","107.50","101.50","1.85M","-3.41%"
"17-01-2022","105.55","103.65","107.80","102.75","3.77M","2.73%"
"14-01-2022","102.75","98.70","104.00","97.40","3.29M","3.74%"
"13-01-2022","99.05","97.80","100.00","95.00","1.63M","2.75%"
"12-01-2022","96.40","98.20","99.75","94.40","2.55M","-2.03%"
"11-01-2022","98.40","105.10","107.50","98.30","4.92M","-4.88%"
"10-01-2022","103.45","98.55","103.45","95.10","4.42M","4.97%"
"07-01-2022","98.55","101.55","102.30","98.05","1.09M","-1.60%"
"06-01-2022","100.15","96.45","101.70","94.50","1.80M","3.19%"
"05-01-2022","97.05","97.90","99.50","96.05","908.00K","-0.46%"
"04-01-2022","97.50","102.00","102.80","96.80","1.63M","-3.27%"
"03-01-2022","100.80","95.95","100.80","95.85","1.43M","5.00%"
"31-12-2021","96.00","95.05","98.55","95.05","684.05K","1.91%"
"30-12-2021","94.20","96.40","96.40","91.00","612.06K","-1.36%"
"29-12-2021","95.50","96.00","97.50","94.00","733.34K","0.63%"
"28-12-2021","94.90","92.00","94.90","91.55","534.04K","4.98%"
"27-12-2021","90.40","92.00","94.10","89.00","1.14M","-1.69%"
"24-12-2021","91.95","94.90","94.90","90.10","702.85K","-1.97%"
"23-12-2021","93.80","94.85","96.75","92.40","609.02K","-1.42%"
"22-12-2021","95.15","94.90","95.15","92.50","676.63K","4.96%"
"21-12-2021","90.65","94.05","97.00","89.30","956.82K","-3.10%"
"20-12-2021","93.55","93.60","97.00","93.55","986.88K","-4.98%"
"17-12-2021","98.45","104.00","104.00","98.20","1.16M","-4.74%"
"16-12-2021","103.35","107.15","108.50","101.65","886.34K","-3.19%"
"15-12-2021","106.75","108.30","111.80","104.00","1.61M","-1.48%"
"14-12-2021","108.35","98.50","108.80","98.50","2.49M","4.53%"
"13-12-2021","103.65","110.95","111.90","103.65","1.88M","-5.00%"
"10-12-2021","109.10","107.25","109.20","104.50","2.88M","4.90%"
"09-12-2021","104.00","99.80","104.00","96.10","2.23M","5.00%"
"08-12-2021","99.05","99.00","101.10","94.25","2.20M","2.80%"
"07-12-2021","96.35","96.35","96.35","93.75","795.26K","4.96%"
"06-12-2021","91.80","88.00","91.80","88.00","965.19K","4.97%"
"03-12-2021","87.45","88.70","90.95","84.00","1.37M","-0.34%"
"02-12-2021","87.75","83.00","87.80","81.10","1.18M","4.90%"
"01-12-2021","83.65","84.00","88.00","82.75","694.03K","-0.65%"
"30-11-2021","84.20","83.75","89.40","83.75","1.44M","-4.48%"
"29-11-2021","88.15","94.50","94.50","88.15","1.40M","-4.96%"
"26-11-2021","92.75","92.80","92.80","88.20","2.76M","4.92%"
"25-11-2021","88.40","86.40","88.40","85.50","1.13M","4.99%"
"24-11-2021","84.20","82.00","84.25","81.30","729.68K","4.92%"
"23-11-2021","80.25","75.90","80.25","73.55","768.51K","4.97%"
"22-11-2021","76.45","80.70","83.25","75.45","804.60K","-3.72%"
"18-11-2021","79.40","82.50","82.50","77.40","672.47K","-2.52%"
"17-11-2021","81.45","83.05","84.70","80.75","496.89K","-1.57%"
"16-11-2021","82.75","81.00","85.25","80.35","575.47K","1.53%"
"15-11-2021","81.50","82.20","84.60","80.25","553.54K","-1.69%"
"12-11-2021","82.90","84.00","84.60","82.10","366.35K","-0.72%"
"11-11-2021","83.50","85.00","85.65","83.15","336.26K","-1.30%"
"10-11-2021","84.60","84.65","88.00","83.20","414.24K","-0.12%"
"09-11-2021","84.70","84.50","86.00","82.00","657.10K","0.89%"
"08-11-2021","83.95","86.90","87.55","83.50","462.37K","-2.67%"
"04-11-2021","86.25","85.10","86.40","85.10","155.78K","1.89%"
"03-11-2021","84.65","84.75","87.60","84.20","379.09K","-1.86%"
